row_type,geometry_candidate,geometry_sha256,pair_id,positive_run_id,control_run_id,speed_mps,diagnostic_episode_id,touchdown_timestamp_s,first_patch_contact_timestamp_s,patch_contact_duration_ms,remaining_stance_after_patch_entry_ms,low_friction_active_duration_ms,normal_contact_force_mean_n,normal_contact_force_peak_n,tangential_contact_force_mean_n,tangential_contact_force_peak_n,friction_cone_utilization_mean,friction_cone_utilization_peak,anchor_drift_rate_mps,maximum_anchor_drift_m,target_foot_velocity_mean_mps,target_foot_velocity_peak_mps,contralateral_support_load_mean_n,patch_entry_position_xyz,patch_exit_position_xyz,physical_onset_margin_m,estimated_onset_after_contact_loss_ms,fall_occurred,first_fall_censor_boundary,control_physically_non_slip,target_foot_first_affected,onset_inside_frozen_mid_late_bin,no_air_or_postfall_only_onset,patch_base_double_contact_zero,precontact_parity_pass,postcontact_divergence_pass,positive_effective_friction_contract,control_effective_friction_contract,source_valid,pair_physical_criteria_pass,pair_count,valid_count_by_speed,valid_speed_count,control_slip_onset_count,parity_failure_count,postcontact_divergence_failure_count,double_contact_count,candidate_pass
pair,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,v6_cal_pair_00,cal_positive_0p10_G0,cal_control_0p10_G0,0.1,5,2.1379999999998813,2.1379999999998813,306,306,116,268.3482547632158,357.9400613675473,26.337004471520043,35.79400613675473,0.9763066847129525,1.0000000000000002,0.11744211409606185,0.03593728691339493,0.29259204864501953,0.540623664855957,57.40434646606445,"[0.15550436079502106, 0.2289150357246399, 0.035209864377975464]","[0.14228039979934692, 0.2623308300971985, 0.03520599380135536]",-0.014062713086605075,119.74165481304662,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,v6_cal_pair_01,cal_positive_0p10_G1,cal_control_0p10_G1,0.1,4,1.539999999999886,1.539999999999886,324,324,121,272.1736795559193,341.7477248400952,26.819593031004793,34.17477248400952,0.9839619018925683,1.0000000000000002,0.09534069348448589,0.030890384688973427,0.23872435092926025,0.45232096314430237,61.31486129760742,"[0.11874386668205261, 0.21279865503311157, 0.03798795863986015]","[0.10833032429218292, 0.2418808490037918, 0.03559475764632225]",-0.019109615311026576,200.4350357923099,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G2,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,v6_cal_pair_02,cal_positive_0p10_G2,cal_control_0p10_G2,0.1,4,1.539999999999886,1.539999999999886,324,324,121,272.1735348124088,341.7475394405698,26.819582497709156,34.17475394405699,0.983962048305112,1.0000000000000002,0.09534104991658233,0.03089050017297268,0.23872530460357666,0.45232221484184265,61.31505584716797,"[0.11663349717855453, 0.2128249704837799, 0.03798791766166687]","[0.10621990263462067, 0.2419072687625885, 0.035594768822193146]",-0.019109499827027324,200.4330751942315,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G3,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,v6_cal_pair_03,cal_positive_0p10_G3,cal_control_0p10_G3,0.1,1,0.3050000000000002,0.3050000000000002,275,275,85,320.6043134908604,380.3923829694067,32.06043134908605,38.03923829694067,1.0,1.0000000000000002,0.13888440348885275,0.03819321095943451,0.360784113407135,0.7221247553825378,0.0,"[0.035647470504045486, 0.17944203317165375, 0.03697909042239189]","[0.04867805540561676, 0.21534363925457, 0.03537929058074951]",-0.011806789040565493,85.01162653237114,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,v6_cal_pair_04,cal_positive_0p15_G0,cal_control_0p15_G0,0.15,1,0.3050000000000002,0.3050000000000002,364,364,72,316.6357146600524,378.13891442177555,31.663571466005237,37.81389144217756,1.0,1.0000000000000002,0.10298502207155058,0.0348089374601841,0.2976909577846527,0.5786474347114563,0.0,"[0.039624445140361786, 0.17856283485889435, 0.03711386024951935]","[0.04892420396208763, 0.21077926456928253, 0.03600047156214714]",-0.015191062539815905,121.50749414086312,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,v6_cal_pair_05,cal_positive_0p15_G1,cal_control_0p15_G1,0.15,5,1.5409999999998858,1.5409999999998858,321,321,117,267.51656118395186,343.81034789572874,26.17881285311348,34.38103478957287,0.9754896268850969,1.0000000000000002,0.09601411766537996,0.030820531770586967,0.2432793527841568,0.4251687526702881,57.1619758605957,"[0.17563791573047638, 0.20747220516204834, 0.037160489708185196]","[0.16474281251430511, 0.23630277812480927, 0.03563063591718674]",-0.019179468229413035,199.75675135874965,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G2,38ca90cb5eb8d4ea14380f58e0f24d550e8fdb5f77dec68fabfe8e374467ca74,v6_cal_pair_06,cal_positive_0p15_G2,cal_control_0p15_G2,0.15,1,0.3050000000000002,0.3050000000000002,364,364,72,316.64130990701165,378.150247661649,31.664130990701167,37.8150247661649,1.0,1.0000000000000002,0.10299656165422066,0.03481283783912659,0.2977736294269562,0.5787964463233948,0.0,"[0.03978950157761574, 0.1801568567752838, 0.03710338473320007]","[0.04910028353333473, 0.21237415075302124, 0.036000631749629974]",-0.015187162160873416,121.45309859818087,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G3,48230d0329c3281d43809f9a56f7acf524a936c6e74e8006284045b221cf3f0e,v6_cal_pair_07,cal_positive_0p15_G3,cal_control_0p15_G3,0.15,1,0.3050000000000002,0.3050000000000002,364,364,72,316.6378692245187,378.14327921826066,31.663786922451866,37.81432792182606,1.0,1.0000000000000002,0.10298937559127808,0.03481040894985199,0.2977226674556732,0.5787045955657959,0.0,"[0.04047957435250282, 0.17911405861377716, 0.03710980340838432]","[0.04978359490633011, 0.21133080124855042, 0.03600052744150162]",-0.015189591050148013,121.48697099037838,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
pair,G0,a7ecd6fa3e44f49b07f3b0a0729d091f2156bc8493b171549748776c9fde5583,v6_cal_pair_08,cal_positive_0p20_G0,cal_control_0p20_G0,0.2,3,0.9189999999999542,0.9189999999999542,335,335,106,287.1720657614074,362.3987825874651,28.717206576140743,36.239878258746515,1.0,1.0000000000000002,0.17633559925058867,0.05748540535569191,0.42997312545776367,0.795192301273346,0.0,"[0.12448125332593918, 0.23804014921188354, 0.035972610116004944]","[0.1326640099287033, 0.2944295108318329, 0.03684992343187332]",0.007485405355691907,0.0,False,,True,True,True,True,True,True,True,True,True,True,True,,,,,,,,
pair,G1,051eaaaa756841b4390c2cb9bf5de7c4dcc96a9ccdca3afb07d8cb1b424d3396,v6_cal_pair_09,cal_positive_0p20_G1,cal_control_0p20_G1,0.2,1,0.3050000000000002,0.3050000000000002,362,362,74,330.0685423895864,372.4139987044735,33.00685423895864,37.24139987044736,1.0,1.0000000000000002,0.10707680390213646,0.03608488291501999,0.30136626958847046,0.5936580300331116,0.0,"[0.046381570398807526, 0.1794729083776474, 0.037653785198926926]","[0.05391577631235123, 0.2135060727596283, 0.03595425933599472]",-0.013915117084980014,104.95454270093666,False,,True,False,False,True,True,True,True,True,True,False,False,,,,,,,,
