candidate_id,variant,seed,outer_fold,iterations,max_iterations,converged,final_loss,final_loss_semantics,final_gradient_norm,final_step_size,last_25_iteration_loss_improvement,finite_status,predictions_stable_near_ceiling,classification
F0_seed_202608241,F0,202608241,0,400,400,False,3.38146774767467,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608241,F0,202608241,1,400,400,False,3.2151438329057394,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608241,F0,202608241,2,400,400,False,2.637879176895622,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608242,F0,202608242,0,400,400,False,3.2146282571944615,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608242,F0,202608242,1,400,400,False,3.055132244033084,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608242,F0,202608242,2,400,400,False,2.6490249887858397,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608243,F0,202608243,0,400,400,False,3.0420231755058174,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608243,F0,202608243,1,400,400,False,2.976394390264967,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F0_seed_202608243,F0,202608243,2,400,400,False,2.6635884891649435,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608241,F1,202608241,0,400,400,False,0.14828946302807788,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608241,F1,202608241,1,400,400,False,0.14621505757489722,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608241,F1,202608241,2,400,400,False,0.16152418142626204,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608242,F1,202608242,0,400,400,False,0.14855304603598146,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608242,F1,202608242,1,400,400,False,0.14379451544242502,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608242,F1,202608242,2,400,400,False,0.16211997701079514,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608243,F1,202608243,0,400,400,False,0.15124649953809882,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608243,F1,202608243,1,400,400,False,0.14629814254784562,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
F1_seed_202608243,F1,202608243,2,400,400,False,0.16074819487193204,stored weighted-model train log loss; optimizer trace absent,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,True,NOT_ASSESSABLE,TRAINING_HEALTH_INSUFFICIENT
