path,sha256_before,sha256_after,match
simulation/outputs/walking_bilateral_sensor_sink_observability_v2/manifest.json,f95f054003ce01e6841c3a8c8c49d70a6afd5f236d33977950edd73d9b604841,f95f054003ce01e6841c3a8c8c49d70a6afd5f236d33977950edd73d9b604841,True
simulation/outputs/walking_bilateral_sensor_sink_observability_v2/summary.json,413b837e2cf9a4b4c666d2d01aaf1d3c94f4e9e092a5523413a3c27a42701ce9,413b837e2cf9a4b4c666d2d01aaf1d3c94f4e9e092a5523413a3c27a42701ce9,True
simulation/outputs/walking_bilateral_sensor_sink_observability_v2/bilateral_traces_train.npz,3ff4f8a1f270a39287fbe274753de91a5b0750d1a160e3cc9b1de01174f2a6ca,3ff4f8a1f270a39287fbe274753de91a5b0750d1a160e3cc9b1de01174f2a6ca,True
simulation/outputs/walking_bilateral_sensor_sink_observability_v2/bilateral_traces_validation.npz,8c6a1db0eecdf8f63cf3d361d896e770968473dca1bdcf4c0b0f9ae240fe42f8,8c6a1db0eecdf8f63cf3d361d896e770968473dca1bdcf4c0b0f9ae240fe42f8,True
simulation/outputs/walking_hazard_operational_label_contract_v2/summary.json,de264c3ba753d4a9507bd73903f93b7dbbc53ff1418c3cf1da9bcba27799fcb0,de264c3ba753d4a9507bd73903f93b7dbbc53ff1418c3cf1da9bcba27799fcb0,True
simulation/outputs/walking_stateful_hazard_prototype_v1/summary.json,7eaa92f603a0aef49a6873d18b771f6ae623a871e034c571d5ac5a04af272ffb,7eaa92f603a0aef49a6873d18b771f6ae623a871e034c571d5ac5a04af272ffb,True
simulation/outputs/walking_fusion10_observability_audit_v1/summary.json,9aa84e85af7692bd81bef28ad0c34c65163a74473934268fa94b05bad6b3fc17,9aa84e85af7692bd81bef28ad0c34c65163a74473934268fa94b05bad6b3fc17,True
simulation/outputs/walking_bounded_retraining_v1/summary.json,ccc55ae83237cd1febfd5ca99b2f40bd13202b83f1d8c02d766896e54274d8d2,ccc55ae83237cd1febfd5ca99b2f40bd13202b83f1d8c02d766896e54274d8d2,True
simulation/outputs/walking_hazard_ground_truth_v1_pilot/summary.json,96a4c29ce495aea1e7785ae95124652bf1017ac3d9618727d4ef17c9bc37aa10,96a4c29ce495aea1e7785ae95124652bf1017ac3d9618727d4ef17c9bc37aa10,True
simulation/outputs/walking_hazard_oracle_calibration_v1/summary.json,62d4da1dfb86b1ad2ef754624d256be594c0a199b5e916cc45ab044da7ee34bc,62d4da1dfb86b1ad2ef754624d256be594c0a199b5e916cc45ab044da7ee34bc,True
simulation/outputs/terrain_static_reference_v4/selected_model.keras,adcfa113b679327dc5bac0d4df7dcfceeb2f4dd703960665ecc491581d77df3b,adcfa113b679327dc5bac0d4df7dcfceeb2f4dd703960665ecc491581d77df3b,True
simulation/outputs/terrain_static_reference_v4/normalization.json,13ffc43275e142b6e9bd17cd367a99ff019746087ab7f5ce79a7cea0b9a25830,13ffc43275e142b6e9bd17cd367a99ff019746087ab7f5ce79a7cea0b9a25830,True
simulation/outputs/terrain_fast_reflex_v2_int8/slip/model_int8.tflite,c414ef1135fc0d44f139960faba55027843d7a4d9574318478e2f49eae3db66d,c414ef1135fc0d44f139960faba55027843d7a4d9574318478e2f49eae3db66d,True
simulation/outputs/terrain_fast_reflex_v2_int8/sink/model_int8.tflite,4dcccf97d5175876b6c5e6fb31dd2c74f67e4dd001042fd29d861c1aa8101948,4dcccf97d5175876b6c5e6fb31dd2c74f67e4dd001042fd29d861c1aa8101948,True
